City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,14.67,68,30,8.52,AU,1689890978
1,castillos,-34.1667,-53.8333,13.11,88,99,4.14,UY,1689890978
2,iqaluit,63.7506,-68.5145,4.85,100,100,3.09,CA,1689890978
3,adamstown,-25.066,-130.1015,22.3,86,100,17.86,PN,1689890978
4,longyearbyen,78.2186,15.6401,10.91,71,20,8.23,SJ,1689890978
5,gereida,11.2811,25.1414,26.8,62,24,4.03,SD,1689891273
6,albany,42.6001,-73.9662,29.24,47,34,0.45,US,1689890872
7,gadzhiyevo,69.2551,33.3362,8.45,89,100,6.51,RU,1689891273
8,keflavik,64.0049,-22.5624,11.95,93,75,1.54,IS,1689891110
9,isafjordur,66.0755,-23.124,11.13,74,34,0.65,IS,1689891110
10,nuuk,64.1835,-51.7216,9.34,100,75,3.09,GL,1689890859
11,gamba,-2.65,10.0,20.55,93,56,2.06,GA,1689891273
12,palmer,42.1584,-72.3287,30.29,46,20,3.09,US,1689891273
13,rajanpur,29.1035,70.325,36.2,47,9,0.56,PK,1689891273
14,kodinsk,58.6881,99.1844,15.46,64,3,1.11,RU,1689890979
15,idrinskoye,54.3708,92.1358,17.17,68,100,1.04,RU,1689891274
16,caarapo,-22.6342,-54.8222,20.65,68,7,2.44,BR,1689890980
17,happy valley-goose bay,53.3168,-60.3315,23.38,45,81,1.73,CA,1689890980
18,afaahiti,-17.75,-149.2833,24.93,64,18,7.96,PF,1689890980
19,codrington,-38.2667,141.9667,6.61,83,58,2.93,AU,1689891205
20,penhalonga,-18.8911,32.6978,11.95,78,96,3.29,ZW,1689891205
21,punta arenas,-53.15,-70.9167,0.7,74,100,7.79,CL,1689891205
22,kachug,53.9606,105.8817,12.62,72,95,0.93,RU,1689890980
23,bethel,41.3712,-73.414,28.62,64,0,3.09,US,1689891111
24,mont-laurier,46.5501,-75.4993,20.79,93,100,1.62,CA,1689891205
25,ilulissat,69.2167,-51.1,8.01,93,75,2.57,GL,1689890982
26,puerto natales,-51.7236,-72.4875,0.28,97,100,3.31,CL,1689890982
27,salalah,17.0151,54.0924,25.05,100,100,2.57,OM,1689891206
28,port alfred,-33.5906,26.891,12.21,59,47,7.15,ZA,1689890982
29,port mathurin,-19.6833,63.4167,23.27,69,7,7.73,MU,1689890982
30,saint croix,17.7397,-64.7388,28.25,74,100,4.12,VI,1689891111
